Rk,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
301,Dan Neil,MF,Sunderland,23-329,2001,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,Reiss Nelson,FW,Brentford,25-332,1999,1,0,16,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,2,3,0,0,0,0,0,0.32,0,0.32,0.32,0.32
303,Pedro Neto,FW,Chelsea,25-243,2000,10,10,753,8.4,2,2,4,2,0,0,0,0,1.4,1.4,1.6,3,39,27,76,0.24,0.24,0.48,0.24,0.48,0.17,0.2,0.36,0.17,0.36
304,Rio Ngumoha,"FW,MF",Liverpool,17-070,2008,4,0,33,0.4,1,0,1,1,0,0,0,0,0.4,0.4,0.1,0.4,5,0,10,2.73,0,2.73,2.73,2.73,0.97,0.26,1.23,0.97,1.23
305,Eddie Nketiah,"MF,FW",Crystal Palace,26-161,1999,5,0,112,1.2,1,0,1,1,0,0,1,0,0.9,0.9,0.8,1.7,3,2,4,0.8,0,0.8,0.8,0.8,0.71,0.66,1.38,0.71,1.38
306,Lukas Nmecha,FW,Leeds United,26-328,1998,10,1,206,2.3,1,0,1,0,1,1,0,0,1.8,1.1,0,1.1,2,2,12,0.44,0,0.44,0,0,0.78,0,0.78,0.46,0.46
307,Matheus Nunes,DF,Manchester City,27-072,1998,8,6,604,6.7,1,0,1,1,0,0,1,0,0.2,0.2,0.2,0.4,16,31,23,0.15,0,0.15,0.15,0.15,0.04,0.02,0.06,0.04,0.06
308,Ethan Nwaneri,MF,Arsenal,18-231,2007,5,0,168,1.9,0,0,0,0,0,0,0,0,0.2,0.2,0,0.3,7,13,6,0,0,0,0,0,0.12,0.02,0.15,0.12,0.15
309,Christian Norgaard,MF,Arsenal,31-242,1994,2,0,15,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,1,0,0,0,0,0,0,0.31,0,0.31,0.31,0.31
310,Jake O'Brien,DF,Everton,24-176,2001,10,10,867,9.6,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,8,24,20,0,0,0,0,0,0.04,0.01,0.05,0.04,0.05
311,Matt O'Riley,MF,Brighton,24-351,2000,2,2,177,2,1,0,1,0,1,1,0,0,1.2,0.4,0.2,0.6,0,5,11,0.51,0,0.51,0,0,0.61,0.1,0.72,0.21,0.32
312,Wilson Odobert,FW,Tottenham,20-344,2004,9,3,337,3.7,0,0,0,0,0,0,0,0,0.7,0.7,0.3,1.1,14,17,28,0,0,0,0,0,0.2,0.09,0.29,0.2,0.29
313,Noah Okafor,"FW,MF",Leeds United,25-167,2000,7,6,427,4.7,2,0,2,2,0,0,2,0,1.4,1.4,0.4,1.8,14,11,34,0.42,0,0.42,0.42,0.42,0.29,0.09,0.37,0.29,0.37
314,Amadou Onana,MF,Aston Villa,24-083,2001,6,5,415,4.6,0,0,0,0,0,0,2,0,0.2,0.2,0,0.2,3,19,2,0,0,0,0,0,0.05,0,0.05,0.05,0.05
315,Frank Onyeka,MF,Brentford,27-310,1998,6,0,92,1,0,1,1,0,0,0,0,0,0,0,0.1,0.1,2,4,2,0,0.98,0.98,0,0.98,0,0.12,0.12,0,0.12
