Rk,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
399,Malick Thiaw,DF,Newcastle Utd,24-091,2001,7,6,543,6,0,0,0,0,0,0,1,0,0.6,0.6,0.3,0.9,9,34,10,0,0,0,0,0,0.11,0.05,0.15,0.11,0.15
400,Youri Tielemans,MF,Aston Villa,28-184,1997,4,4,315,3.5,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,8,21,10,0,0,0,0,0,0.04,0.05,0.09,0.04,0.09
401,Jurrien Timber,DF,Arsenal,24-143,2001,10,9,792,8.8,2,1,3,2,0,0,2,0,2,2,0.6,2.5,14,53,41,0.23,0.11,0.34,0.23,0.34,0.22,0.07,0.29,0.22,0.29
402,Jean-Clair Todibo,DF,West Ham,25-312,1999,5,5,396,4.4,0,0,0,0,0,0,1,0,0,0,0,0,5,18,1,0,0,0,0,0,0,0,0,0,0
403,Sandro Tonali,MF,Newcastle Utd,25-183,2000,10,9,794,8.8,0,1,1,0,0,0,0,0,0.4,0.4,1.6,2.1,19,73,22,0,0.11,0.11,0,0.11,0.05,0.19,0.24,0.05,0.24
404,Pau Torres,DF,Aston Villa,28-295,1997,7,5,509,5.7,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,7,22,3,0,0,0,0,0,0.02,0,0.02,0.02,0.02
405,James Trafford,GK,Manchester City,23-028,2002,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
406,Adama Traore,FW,Fulham,29-286,1996,8,1,234,2.6,0,0,0,0,0,0,0,0,0.2,0.2,0.5,0.6,14,3,23,0,0,0,0,0,0.06,0.18,0.24,0.06,0.24
407,Bertrand Traore,"FW,MF",Sunderland,30-062,1995,5,4,296,3.3,0,0,0,0,0,0,1,0,0.5,0.5,0.8,1.2,3,6,29,0,0,0,0,0,0.14,0.23,0.37,0.14,0.37
408,Kieran Trippier,DF,Newcastle Utd,35-049,1990,8,7,609,6.8,0,0,0,0,0,0,0,0,0,0,0.8,0.8,9,64,33,0,0,0,0,0,0,0.12,0.12,0,0.12
409,Leandro Trossard,FW,Arsenal,30-338,1994,8,6,553,6.1,1,2,3,1,0,0,0,0,1.7,1.7,0.6,2.4,16,21,60,0.16,0.33,0.49,0.16,0.49,0.28,0.11,0.38,0.28,0.38
410,Adrien Truffert,DF,Bournemouth,23-352,2001,10,10,900,10,0,1,1,0,0,0,1,0,0.1,0.1,0.6,0.8,23,48,56,0,0.1,0.1,0,0.1,0.01,0.06,0.08,0.01,0.08
411,Axel Tuanzebe,DF,Burnley,27-358,1997,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0
412,Stefanos Tzimas,"MF,FW",Brighton,19-305,2006,6,0,84,0.9,0,1,1,0,0,0,0,0,0.4,0.4,0.5,0.8,1,1,4,0,1.07,1.07,0,1.07,0.4,0.49,0.89,0.4,0.89
413,Christantus Uche,MF,Crystal Palace,22-172,2003,3,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0.08,0,0.08,0.08,0.08
414,Destiny Udogie,DF,Tottenham,22-344,2002,6,3,321,3.6,0,0,0,0,0,0,0,0,0,0,0.2,0.3,15,21,29,0,0,0,0,0,0.01,0.07,0.07,0.01,0.07
415,Manuel Ugarte,MF,Manchester Utd,24-210,2001,8,2,285,3.2,0,0,0,0,0,0,0,0,0,0,0,0.1,4,19,3,0,0,0,0,0,0.02,0.01,0.02,0.02,0.02
416,Lesley Ugochukwu,MF,Burnley,21-226,2004,9,6,520,5.8,2,0,2,2,0,0,2,1,0.8,0.8,0,0.8,6,10,11,0.35,0,0.35,0.35,0.35,0.13,0,0.14,0.13,0.14
417,Enes nal,FW,Bournemouth,28-181,1997,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
418,Virgil van Dijk,DF,Liverpool,34-122,1991,10,10,900,10,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.5,13,63,7,0,0,0,0,0,0.04,0.01,0.05,0.04,0.05
419,Joel Veltman,DF,Brighton,33-296,1992,4,4,324,3.6,0,0,0,0,0,0,2,0,0,0,0,0,5,14,2,0,0,0,0,0,0,0.01,0.01,0,0.01
420,Micky van de Ven,DF,Tottenham,24-202,2001,10,10,889,9.9,3,0,3,3,0,0,2,0,1.6,1.6,0.1,1.7,5,29,2,0.3,0,0.3,0.3,0.3,0.16,0.01,0.17,0.16,0.17
421,Bart Verbruggen,GK,Brighton,23-081,2002,10,10,900,10,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01
422,Guglielmo Vicario,GK,Tottenham,29-031,1996,10,10,900,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
423,Kyle Walker,DF,Burnley,35-163,1990,10,10,900,10,0,1,1,0,0,0,2,0,0.1,0.1,0.4,0.5,15,24,16,0,0.1,0.1,0,0.1,0.01,0.04,0.05,0.01,0.05
424,Kyle Walker-Peters,DF,West Ham,28-208,1997,9,5,462,5.1,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,13,16,20,0,0,0,0,0,0.03,0.02,0.04,0.03,0.04
425,Aaron Wan-Bissaka,DF,West Ham,27-346,1997,6,5,471,5.2,0,0,0,0,0,0,0,0,0,0,0.2,0.2,9,16,30,0,0,0,0,0,0,0.04,0.04,0,0.04
426,James Ward-Prowse,MF,West Ham,31-006,1994,5,5,413,4.6,0,0,0,0,0,0,0,0,0.1,0.1,0.9,1,1,20,8,0,0,0,0,0,0.03,0.2,0.23,0.03,0.23
427,Ollie Watkins,FW,Aston Villa,29-312,1995,10,9,786,8.7,1,0,1,1,0,0,0,0,1.7,1.7,0.5,2.2,16,12,54,0.11,0,0.11,0.11,0.11,0.2,0.05,0.25,0.2,0.25
428,Tom Watson,FW,Brighton,19-213,2006,2,0,42,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0.08,0,0.08,0.08,0.08
429,Danny Welbeck,FW,Brighton,34-346,1990,10,7,628,7,6,0,6,6,0,1,2,0,4.2,3.4,0.3,3.7,5,8,21,0.86,0,0.86,0.86,0.86,0.6,0.04,0.64,0.48,0.52
430,Adam Wharton,MF,Crystal Palace,21-274,2004,8,8,630,7,0,0,0,0,0,0,1,0,0.2,0.2,2.2,2.4,9,36,7,0,0,0,0,0,0.03,0.31,0.35,0.03,0.35
431,Ben White,DF,Arsenal,28-030,1997,1,1,70,0.8,0,0,0,0,0,0,0,0,0,0,0,0.1,1,4,0,0,0,0,0,0,0.02,0.06,0.07,0.02,0.07
432,Mats Wieffer,DF,Brighton,25-356,1999,8,6,551,6.1,0,2,2,0,0,0,3,0,0.2,0.2,1.6,1.8,13,29,21,0,0.33,0.33,0,0.33,0.03,0.27,0.29,0.03,0.29
433,Neco Williams,"DF,MF",Nott'ham Forest,24-208,2001,10,10,900,10,1,0,1,1,0,0,4,0,0.8,0.8,0.5,1.3,24,45,50,0.1,0,0.1,0.1,0.1,0.08,0.05,0.13,0.08,0.13
434,Estevo Willian,FW,Chelsea,18-197,2007,9,4,316,3.5,1,1,2,1,0,0,2,0,1.7,1.7,1.3,3,12,7,34,0.28,0.28,0.57,0.28,0.57,0.5,0.36,0.86,0.5,0.86
435,Joe Willock,MF,Newcastle Utd,26-079,1999,2,1,87,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,3,1,4,0,0,0,0,0,0.09,0,0.09,0.09,0.09
436,Callum Wilson,FW,West Ham,33-253,1992,7,2,299,3.3,1,0,1,1,0,0,0,0,1.2,1.2,0,1.3,3,2,16,0.3,0,0.3,0.3,0.3,0.37,0.01,0.38,0.37,0.38
437,Harry Wilson,"FW,MF",Fulham,28-230,1997,9,7,596,6.6,2,0,2,2,0,0,1,0,1.1,1.1,0.3,1.4,7,12,48,0.3,0,0.3,0.3,0.3,0.17,0.04,0.21,0.17,0.21
438,Ben Winterburn,MF,Bournemouth,21-064,2004,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
439,Florian Wirtz,"MF,FW",Liverpool,22-188,2003,10,6,607,6.7,0,0,0,0,0,0,1,0,1.2,1.2,1.1,2.3,20,45,48,0,0,0,0,0,0.18,0.17,0.35,0.18,0.35
440,Nick Woltemade,FW,Newcastle Utd,23-266,2002,7,7,522,5.8,4,0,4,3,1,1,0,0,3,2.2,0.3,2.5,4,9,22,0.69,0,0.69,0.52,0.52,0.52,0.04,0.56,0.38,0.43
441,Chris Wood,FW,Nott'ham Forest,33-335,1991,8,7,540,6,2,0,2,2,0,0,0,0,2.7,2.7,0.2,2.9,0,7,16,0.33,0,0.33,0.33,0.33,0.45,0.03,0.48,0.45,0.48
442,Joe Worrall,DF,Burnley,28-301,1997,4,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
443,Granit Xhaka,MF,Sunderland,33-041,1992,10,10,900,10,1,3,4,1,0,0,3,0,0.4,0.4,1.5,1.9,6,61,10,0.1,0.3,0.4,0.1,0.4,0.04,0.15,0.19,0.04,0.19
444,Yehor Yarmoliuk,MF,Brentford,21-251,2004,10,10,786,8.7,0,1,1,0,0,0,1,0,0.2,0.2,0.3,0.6,11,30,7,0,0.11,0.11,0,0.11,0.03,0.04,0.07,0.03,0.07
445,Ryan Yates,MF,Nott'ham Forest,27-351,1997,6,1,213,2.4,0,1,1,0,0,0,1,0,0,0,0.1,0.2,1,11,1,0,0.42,0.42,0,0.42,0.01,0.06,0.07,0.01,0.07
446,Leny Yoro,DF,Manchester Utd,19-359,2005,10,7,623,6.9,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,5,27,3,0,0,0,0,0,0.04,0,0.04,0.04,0.04
447,Oleksandr Zinchenko,DF,Nott'ham Forest,28-327,1996,3,3,253,2.8,0,0,0,0,0,0,0,0,0,0,0.5,0.5,6,22,7,0,0,0,0,0,0.02,0.16,0.18,0.02,0.18
448,Joshua Zirkzee,"FW,MF",Manchester Utd,24-169,2001,4,0,86,1,0,0,0,0,0,0,0,0,0.8,0.8,0,0.8,0,4,5,0,0,0,0,0,0.81,0.05,0.86,0.81,0.86
449,Martin Zubimendi,MF,Arsenal,26-278,1999,10,9,847,9.4,2,0,2,2,0,0,1,0,0.3,0.3,0.7,0.9,9,57,8,0.21,0,0.21,0.21,0.21,0.03,0.07,0.1,0.03,0.1
450,Martin Odegaard,MF,Arsenal,26-325,1998,6,4,203,2.3,0,1,1,0,0,0,0,0,0.1,0.1,0.5,0.6,10,26,5,0,0.44,0.44,0,0.44,0.06,0.2,0.27,0.06,0.27
